date,code,name,share_change_100m,share_balance_100m,prev_date,prev_share_balance_100m,status,source,updated_at
20260615,510310.SH,易方达沪深300etf,-7.3080,214.7554,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:36+00:00
20260615,510330.SH,华夏沪深300etf,-4.8780,137.7745,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:36+00:00
20260615,588000.SH,华夏上证科创板50ETF,-3.5100,328.7667,20260612,332.2767,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260616,159919.SZ,嘉实沪深300etf,-3.9960,116.0572,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:30+00:00
20260616,510300.SH,华泰柏瑞沪深300etf,-4.1220,279.7069,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:30+00:00
20260616,510310.SH,易方达沪深300etf,-9.0990,205.6564,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:30+00:00
20260616,510330.SH,华夏沪深300etf,-3.2670,134.5075,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:30+00:00
20260616,588000.SH,华夏上证科创板50ETF,2.1900,330.9567,20260615,328.7667,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260617,159919.SZ,嘉实沪深300etf,-5.6250,110.4322,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:24+00:00
20260617,510300.SH,华泰柏瑞沪深300etf,-8.8830,270.8239,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:24+00:00
20260617,510310.SH,易方达沪深300etf,-10.5480,195.1084,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:24+00:00
20260617,510330.SH,华夏沪深300etf,-2.7990,131.7085,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:24+00:00
20260617,588000.SH,华夏上证科创板50ETF,-10.2300,320.7267,20260616,330.9567,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260618,159919.SZ,嘉实沪深300etf,-4.7880,105.6442,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:18+00:00
20260618,510300.SH,华泰柏瑞沪深300etf,-5.5530,265.2709,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:18+00:00
20260618,510310.SH,易方达沪深300etf,-5.1030,190.0054,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:18+00:00
20260618,510330.SH,华夏沪深300etf,-2.8170,128.8915,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:11:18+00:00
20260618,588000.SH,华夏上证科创板50ETF,-8.3700,312.3567,20260617,320.7267,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260622,159919.SZ,嘉实沪深300etf,-1.9980,103.6462,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:54+00:00
20260622,510300.SH,华泰柏瑞沪深300etf,-1.4220,263.8489,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:54+00:00
20260622,510310.SH,易方达沪深300etf,-6.2010,183.8044,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:54+00:00
20260622,510330.SH,华夏沪深300etf,-1.3590,127.5325,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:54+00:00
20260622,588000.SH,华夏上证科创板50ETF,3.6900,316.0467,20260618,312.3567,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260623,159919.SZ,嘉实沪深300etf,-8.7210,94.9252,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:48+00:00
20260623,510300.SH,华泰柏瑞沪深300etf,-17.0820,246.7669,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:48+00:00
20260623,510310.SH,易方达沪深300etf,-13.5900,170.2144,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:48+00:00
20260623,510330.SH,华夏沪深300etf,-10.2600,117.2725,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:48+00:00
20260623,588000.SH,华夏上证科创板50ETF,0.5700,316.6167,20260622,316.0467,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260624,159919.SZ,嘉实沪深300etf,-8.9370,85.9882,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:42+00:00
20260624,510300.SH,华泰柏瑞沪深300etf,-17.9010,228.8659,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:42+00:00
20260624,510310.SH,易方达沪深300etf,-12.7980,157.4164,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:42+00:00
20260624,510330.SH,华夏沪深300etf,-11.9250,105.3475,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:42+00:00
20260624,588000.SH,华夏上证科创板50ETF,-4.5900,312.0267,20260623,316.6167,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260625,159919.SZ,嘉实沪深300etf,-9.4860,76.5022,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:37+00:00
20260625,510300.SH,华泰柏瑞沪深300etf,-21.4200,207.4459,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:37+00:00
20260625,510310.SH,易方达沪深300etf,-18.7290,138.6874,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:37+00:00
20260625,510330.SH,华夏沪深300etf,-17.7210,87.6265,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:37+00:00
20260625,588000.SH,华夏上证科创板50ETF,-1.6200,310.4067,20260624,312.0267,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260626,159919.SZ,嘉实沪深300etf,-0.4140,76.0882,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:31+00:00
20260626,510300.SH,华泰柏瑞沪深300etf,0.5580,208.0039,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:31+00:00
20260626,510310.SH,易方达沪深300etf,0.1800,138.8674,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:31+00:00
20260626,510330.SH,华夏沪深300etf,-0.0810,87.5455,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:31+00:00
20260626,588000.SH,华夏上证科创板50ETF,-1.5900,308.8167,20260625,310.4067,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260629,159919.SZ,嘉实沪深300etf,-6.1200,69.9682,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:12+00:00
20260629,510300.SH,华泰柏瑞沪深300etf,-8.6400,199.3639,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:12+00:00
20260629,510310.SH,易方达沪深300etf,-6.7590,132.1084,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:12+00:00
20260629,510330.SH,华夏沪深300etf,-4.7970,82.7485,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:12+00:00
20260629,588000.SH,华夏上证科创板50ETF,-10.7700,298.0467,20260626,308.8167,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260630,159919.SZ,嘉实沪深300etf,-0.5760,69.3922,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:07+00:00
20260630,510300.SH,华泰柏瑞沪深300etf,-10.2150,189.1489,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:07+00:00
20260630,510310.SH,易方达沪深300etf,-16.1010,116.0074,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:07+00:00
20260630,510330.SH,华夏沪深300etf,-7.8570,74.8915,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:07+00:00
20260630,588000.SH,华夏上证科创板50ETF,0.2700,298.3167,20260629,298.0467,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260701,159919.SZ,嘉实沪深300etf,-3.8430,65.5492,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:01+00:00
20260701,510300.SH,华泰柏瑞沪深300etf,-5.1930,183.9559,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:01+00:00
20260701,510310.SH,易方达沪深300etf,-2.6550,113.3524,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:01+00:00
20260701,510330.SH,华夏沪深300etf,0.1440,75.0355,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:10:01+00:00
20260701,588000.SH,华夏上证科创板50ETF,1.3200,299.6367,20260630,298.3167,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260702,159919.SZ,嘉实沪深300etf,-2.3580,63.1912,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:54+00:00
20260702,510300.SH,华泰柏瑞沪深300etf,1.3680,185.3239,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:54+00:00
20260702,510310.SH,易方达沪深300etf,-5.1300,108.2224,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:54+00:00
20260702,510330.SH,华夏沪深300etf,0.5130,75.5485,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:54+00:00
20260702,588000.SH,华夏上证科创板50ETF,11.6700,311.3067,20260701,299.6367,ok,ths-ifind-command:iwencai:fund,2026-07-21T08:47:38+00:00
20260703,159919.SZ,嘉实沪深300etf,-8.9100,54.2812,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:48+00:00
20260703,510300.SH,华泰柏瑞沪深300etf,-14.6250,170.6989,,,ok,ths-ifind-command:iwencai:fund,2026-07-17T02:09:48+00:00
